True_index,pred
7,-30.23939574711062
19,4054.1525750940286
31,5832.437575516322
45,3497.444169918498
56,4311.815887140262
57,5141.366997964161
61,6578.471894362604
63,7522.228465687865
79,3892.5278554797083
81,7826.303867303158
84,3502.7403136167986
86,5539.951549794662
90,4818.110994734865
96,6009.238449634372
105,129.3939692416252
108,6345.192816799551
124,11791.424707234157
126,5190.124120574187
133,6633.407435062133
146,5602.070326426332
151,-29.099132871676375
160,7082.258847942378
164,7914.9423338477
167,10284.29163284249
190,632.3693589254963
194,6321.354191372514
206,10348.062682345633
214,-97.06399933471835
217,7679.261210166642
220,9209.935305628993
221,12403.841830749978
225,6138.388241177758
226,4733.824701818237
232,8539.017070944672
250,4845.077511711903
264,5426.343149874511
269,5088.603812013403
271,6128.028348166283
280,7493.55398655687
281,-176.84848094339895
284,5328.335365895444
302,8031.289345416511
323,4949.300804058146
327,-428.45182285929604
336,5077.807216799833
351,4776.110378519079
377,6596.3866371987
382,3983.864327728535
388,7255.47330855519
392,15.24771828570374
402,773.3043297254203
408,6713.472485896575
427,7289.588747390886
466,-173.73160135465946
469,-72.71976586976598
472,-960.9091097414284
477,129.3939692416252
508,6424.946066182568
513,8796.185492935707
516,5721.992135598892
530,4170.698079395879
558,3918.9880028808343
576,13471.249899516333
588,8905.270858269327
595,6563.874698591281
600,4997.921690489122
601,9797.700120513728
609,5087.699870669612
612,4722.825012915999
615,6579.201620861934
625,4626.15556088736
632,-231.33725109837815
645,4348.885096296466
666,6908.231511966038
668,7063.960288596922
672,8997.540617624103
699,15020.012529635926
717,6216.344367061576
737,5838.425476375688
744,7744.941878995634
747,18273.52188815131
764,7115.124740742019
775,7105.326675526451
788,20.676177477600277
795,9291.593368612383
802,9906.738037585295
811,9329.064002865458
840,9218.041244187547
849,10176.735008231411
859,6691.737501945558
871,-130.77700602652635
872,12240.39791484526
881,4977.410391470569
883,7456.636270807589
890,5014.79951567727
896,7552.877875974816
902,582.1142169718253
905,9248.571168894909
921,7762.863291487409
967,8695.54347976941
973,6186.962033802122
1001,4321.790487334796
1016,-36.00186985701248
1021,9729.46449371926
1026,4546.727008508955
1030,7215.090792712232
1044,5601.712109706747
1063,8982.27901208073
1067,8860.26460097779
1075,8748.510855211425
1086,-66.21814586635628
1097,5094.964071800714
1117,11599.231819589324
1122,4962.783095298973
1125,8297.024273466732
1129,5791.682419772532
1141,5450.642350655247
1149,483.8056367640263
1151,4578.442985878688
1159,6820.807896965324
1173,6622.974661200073
1184,110.65031262504681
1193,6496.311411818153
1241,5951.653103352433
1249,283.11694078474716
1250,7302.488335550728
1261,925.1647082649919
1273,6637.906047978171
1282,446.55117653868615
1296,6754.175633098637
1309,4235.397550198906
1332,5142.931695364317
1336,6797.080190672475
1357,5616.41120738061
1372,6416.682236684511
1374,6195.69510046199
1378,9840.34675859211
1379,5232.165101352835
1384,8206.085998954666
1394,6785.76718843349
1398,3310.5695253384956
1399,4857.185501555326
1403,7240.456790433008
1409,8720.634303512914
1424,4812.466211187881
1430,5919.868071378378
1432,4554.811601726622
1448,6118.206809584425
1451,9586.40851395794
1452,7614.206362005758
1467,632.3693589254963
1470,5482.734570076028
1481,9222.099040264078
1523,2957.2506575763036
1527,4900.913738016858
1546,4943.856912781554
1547,13232.730294147274
1567,5242.721900496052
1592,8889.418762989499
1597,11504.990827908561
1601,-264.2442027015554
1603,8734.141036200463
1640,6354.113351809818
1646,-210.38447386984308
1651,-211.66384058886433
1652,10179.359905005149
1670,-229.98235837699121
1677,483.68083339657596
1691,5980.546166161439
1704,3063.8297129138514
1707,9895.46165630256
1718,5520.978000460526
1721,6099.925941447734
1733,-67.48884422503352
1737,8305.731349817595
1748,4427.425957578458
1776,6508.184173261801
1804,7446.071183649474
1821,9239.746319516991
1839,4663.462850998405
1845,6696.443722373688
1853,6510.762241281141
1888,4198.7409124026835
1895,5502.896059374348
1899,6643.8209320702335
1923,4372.4298839687435
1934,8431.169065527312
1937,9962.038359101163
1940,4750.349635859762
1953,-428.45182285929604
1968,4234.325368039215
1975,1077.7530937149368
1981,7074.752616855457
1984,5204.118080610477
1997,11068.501400955141
2024,9775.212013555858
2032,8601.118431819948
2036,12264.309722403268
2051,3801.3559519113783
2061,-347.6877040702443
2082,5161.453269349777
2093,-507.56560017140873
2096,6340.647535925542
2107,6489.863152787222
2115,5510.124436136089
2117,4018.881616362793
2137,3706.044721233293
2156,7857.476932279533
2160,-198.11212421787468
2186,8597.294402283173
2188,6736.586961800241
2204,7816.328431331939
2217,5202.023847768976
2224,4334.185650354568
2228,14492.381788535571
2233,10209.031558097293
2246,4869.475965142713
2254,10111.185324461316
2275,7371.623502873669
2281,5721.005692642502
2287,12808.43536847282
2300,8120.261420297583
2305,8905.946495322481
2306,6223.584879756201
2313,3373.748555770966
2315,5587.590962255968
2320,4002.2567214056944
2322,5801.503565775231
2324,5171.283940461137
2328,9607.201539404032
2335,6966.569916055324
2340,3536.5745181126113
2352,925.1647082649919
2381,6500.377125358703
2383,6168.249933093382
2408,4059.493122233553
2422,6537.058836978583
2424,4455.630473189705
2425,79.80058044436419
2428,4326.645509781656
2435,4753.469281845584
2456,8199.929074242416
2471,-446.70233457754694
2474,5945.533506127628
2493,5027.454429706219
2495,7588.885754594357
2501,121.94346876800319
2511,5189.565853332011
2519,3793.0320028055917
2522,6677.753323367945
2526,6494.245266464185
2527,10382.904071574216
2539,7295.592566378496
2550,8486.541967847512
2562,925.1647082649919
2572,6641.5231409392645
2573,5581.610936160412
2576,8013.48025550829
2579,3402.888150472329
2580,6367.918125389659
2594,5918.9468899091335
2600,7147.792461643315
2602,10117.806874846461
2621,481.77642380595876
2641,-178.64540529611327
2651,7401.786644839531
2669,5924.9331009157895
2686,10049.46114370276
2694,5673.181639382448
2699,8338.588816488726
2700,5232.441398538884
2747,6995.85948542601
2759,7280.207744966423
2763,7018.3093295802355
2794,651.6932398379663
2797,937.2631376143149
2812,10116.057349239589
2815,6268.145482640796
2824,-236.69481979267152
2829,6821.890021625661
2830,8439.312751310721
2852,6431.819929300923
2855,8073.808168284685
2858,47.864954279662015
2870,9996.909698435018
2881,5617.646183398543
2884,4262.244808370355
2887,6870.774985427327
