,true_index,predictions
0,7,0.0
1,19,3619.714249013168
2,31,6120.446891839991
3,45,2932.4496130661405
4,56,3353.1535207874504
5,57,4569.735724057421
6,61,5570.600570423312
7,63,8009.242675349312
8,79,5076.940062713563
9,81,8142.322072348695
10,84,3752.8096018032193
11,86,6141.571420422237
12,90,5239.566826538994
13,96,4944.779483026594
14,105,0.0
15,108,4939.821812350812
16,124,13761.430137651098
17,126,5809.188396934743
18,133,7708.305156131871
19,146,5395.411621190806
20,151,0.0
21,160,8678.783768962978
22,164,8398.620620143867
23,167,12350.028610096031
24,190,0.0
25,194,5876.021039236265
26,206,10229.763876865383
27,214,0.0
28,217,10080.315779830393
29,220,9896.988194472371
30,221,8385.275397330777
31,225,6856.90803863836
32,226,3889.9813749194973
33,232,7523.717947330369
34,250,5736.2711251623205
35,264,5968.570520110928
36,269,7071.498645444985
37,271,7851.923363182859
38,280,9283.196111309002
39,281,0.0
40,284,4000.074842687586
41,302,7945.538750837645
42,323,5945.858723378978
43,327,0.0
44,336,4987.32853117452
45,351,3920.3203840209753
46,377,5011.409246434994
47,382,4635.135349645938
48,388,8068.843298581422
49,392,0.0
50,402,0.0
51,408,6132.58725476206
52,427,5914.814164572445
53,466,0.0
54,469,0.0
55,472,0.0
56,477,0.0
57,508,5019.894673805012
58,513,11722.245998028939
59,516,7740.741748782416
60,530,3700.948848875709
61,558,3021.0426134644517
62,576,14698.657852917762
63,588,7445.830646481258
64,595,6467.588262789321
65,600,5185.245081951597
66,601,8566.761062156202
67,609,5407.288107107639
68,612,6479.233321179739
69,615,8040.628361719196
70,625,5660.31774392452
71,632,0.0
72,645,5202.145970889329
73,666,6248.666371449559
74,668,6201.103089713351
75,672,9441.568688064832
76,699,16560.47333673954
77,717,5583.672613994292
78,737,5993.076158622422
79,744,7039.271848064001
80,747,15289.572102356386
81,764,8464.888214662573
82,775,6549.265889617856
83,788,0.0
84,795,9692.247443662322
85,802,10185.612706171434
86,811,8138.227429596562
87,840,8522.681541820104
88,849,10937.055221320847
89,859,6774.406971774891
90,871,0.0
91,872,13888.048611614495
92,881,3637.102010954391
93,883,6353.721556968058
94,890,5397.351094247522
95,896,6519.910069537213
96,902,0.0
97,905,10709.819224903677
98,921,10010.550390456632
99,967,9097.527253668199
100,973,4699.1610442765
101,1001,3676.7065052180787
102,1016,0.0
103,1021,9168.149285954207
104,1026,4407.134251042761
105,1030,8166.594680894063
106,1044,5461.450303473806
107,1063,9206.391898254904
108,1067,7716.34468823957
109,1075,8692.875455180618
110,1086,0.0
111,1097,4404.537698485146
112,1117,14118.918649811334
113,1122,4352.656798047971
114,1125,7163.209145658275
115,1129,6012.660418102666
116,1141,5043.688358741983
117,1149,0.0
118,1151,4396.596896540578
119,1159,7518.660496651111
120,1173,6568.409484987014
121,1184,0.0
122,1193,5217.0277148350815
123,1241,5794.296786600737
124,1249,0.0
125,1250,6830.143727242288
126,1261,0.0
127,1273,6665.453147454947
128,1282,0.0
129,1296,8451.78931360093
130,1309,2480.5563809246314
131,1332,5940.359412879471
132,1336,6914.277143004724
133,1357,5598.299670307572
134,1372,6292.529471002119
135,1374,6476.006873825692
136,1378,10660.11828960073
137,1379,3944.8570908160323
138,1384,9726.680500006545
139,1394,5595.128717672837
140,1398,2900.6302286399623
141,1399,4767.001281813928
142,1403,7854.355121874201
143,1409,9289.686417750687
144,1424,4080.758141872577
145,1430,6297.1972142501645
146,1432,4812.608003484849
147,1448,6345.04973982731
148,1451,10886.990006019758
149,1452,7009.338682248408
150,1467,0.0
151,1470,5038.210504313083
152,1481,9241.35826367161
153,1523,3011.628877769399
154,1527,5005.347618916333
155,1546,4610.683059809463
156,1547,13636.762200076157
157,1567,5089.494983408176
158,1592,10073.937519150344
159,1597,11666.445299901383
160,1601,0.0
161,1603,9470.21487614323
162,1640,6427.20917640421
163,1646,0.0
164,1651,0.0
165,1652,10684.605035204306
166,1670,0.0
167,1677,0.0
168,1691,5929.024285430757
169,1704,2422.341834015071
170,1707,11378.170327652202
171,1718,4963.019724437176
172,1721,5777.604836501261
173,1733,0.0
174,1737,7750.3870209825
175,1748,3920.0444634064747
176,1776,4733.636060860295
177,1804,6355.222832956294
178,1821,9338.157365353574
179,1839,4255.364573215728
180,1845,7419.489444798369
181,1853,5743.960024146641
182,1888,3938.087156679201
183,1895,6779.267563437686
184,1899,7168.42569277261
185,1923,3695.05994727088
186,1934,9973.219508682547
187,1937,11114.598158137385
188,1940,3910.888233099495
189,1953,0.0
190,1968,3700.210982090203
191,1975,0.0
192,1981,5993.555097685484
193,1984,4940.674664416798
194,1997,12171.70351881209
195,2024,9838.812582351771
196,2032,6780.018299569711
197,2036,11946.623183973621
198,2051,3551.419166328412
199,2061,0.0
200,2082,5169.068183460012
201,2093,0.0
202,2096,6605.593786441857
203,2107,5033.028244384426
204,2115,6014.897770985091
205,2117,3503.0244141700928
206,2137,2980.3446176166967
207,2156,7205.385238608243
208,2160,0.0
209,2186,8681.931629200863
210,2188,5805.572559526647
211,2204,6707.188442360017
212,2217,5872.401415898993
213,2224,4180.99789847907
214,2228,14712.364630679625
215,2233,10374.260265673569
216,2246,4168.379221383047
217,2254,10067.350861782481
218,2275,7126.620620177578
219,2281,6498.504517052301
220,2287,12655.622276127227
221,2300,6790.179793628606
222,2305,9099.425479882395
223,2306,5257.618910493723
224,2313,3924.955574081148
225,2315,5017.277431651955
226,2320,3555.8444746896766
227,2322,5772.79012595627
228,2324,4265.616747148955
229,2328,8698.043680964303
230,2335,6280.510435254858
231,2340,3265.3372442954637
232,2352,0.0
