true_index,predictions
7,0.0
19,4369.151517004721
31,6104.644289818654
45,2903.5811526586795
56,3572.7777748255508
57,5055.144438140891
61,5338.399871988633
63,6993.390163898463
79,4360.518087090884
81,8306.169374465102
84,3327.909685917302
86,6089.640948561553
90,5067.373899461193
96,5878.382735463919
105,0.0002915704387990762
108,6036.028572297623
124,10617.040774117513
126,5493.416532241142
133,6779.597495502353
146,6197.341654164747
151,0.0
160,7667.075890484615
164,8214.22007951028
167,10154.35632815776
190,0.0002915704387990762
194,6927.106664479955
206,10596.128316556085
214,0.0002915704387990762
217,7510.40496174105
220,9739.623125834796
221,12364.753556064066
225,5592.518027187316
226,5060.125155608064
232,8371.738327541492
250,5176.282349766757
264,5670.9854537403935
269,5063.132974154446
271,6342.326108500599
280,7603.9935181120445
281,0.0002915704387990762
284,4620.634032214674
302,8015.574063538272
323,5397.032456834198
327,0.0002915704387990762
336,5176.282349766757
351,3952.249593750711
377,6231.461511519961
382,4338.8723523043045
388,7262.8623173249
392,0.0002915704387990762
402,0.0002915704387990762
408,6404.346912063661
427,6239.772940142376
466,0.0002915704387990762
469,0.0002915704387990762
472,0.0
477,0.0002915704387990762
508,6787.691570329641
513,9201.541851219308
516,5723.32422376731
530,4345.216687610152
558,3067.7489084565277
576,13278.404627472755
588,8663.058660239129
595,6438.53149320891
600,5063.132974154446
601,9446.424673678002
609,5180.300939247208
612,5172.681795748167
615,6519.012530533507
625,4738.0402288694895
632,0.0002915704387990762
645,4567.551862370135
666,6855.113274913598
668,7308.178573711242
672,9412.902303659626
699,14519.97116910139
717,5701.967847949588
737,6104.644289818654
744,8666.660434451944
747,14872.598201142866
764,7324.841018182215
775,7262.8623173249
788,0.0002915704387990762
795,9931.644660552316
802,9866.663280254119
811,9174.77478144905
840,9446.424673678002
849,11187.146154103191
859,6917.421500696452
871,0.0002915704387990762
872,13755.470444627861
881,4547.649111846008
883,7920.442320827612
890,4750.081234323808
896,7044.984000045458
902,0.0
905,9498.346855664946
921,8308.033735203699
967,8752.100062908536
973,6151.270661118254
1001,4369.151517004721
1016,0.0002915704387990762
1021,9314.713599461602
1026,5060.125155608064
1030,7048.839658763455
1044,6135.9999652171355
1063,9128.90731718616
1067,8703.287080410657
1075,9284.9028874636
1086,0.0
1097,4775.726685996364
1117,12342.719705371353
1122,4744.206988367707
1125,8189.499290719861
1129,5592.518027187316
1141,4742.028116652586
1149,0.0002915704387990762
1151,4369.151517004721
1159,6901.405717868083
1173,6842.240871272516
1184,0.0002915704387990762
1193,6075.739376278207
1241,6027.968199327042
1249,0.0002915704387990762
1250,7608.936179480017
1261,0.0002915704387990762
1273,6218.883407141914
1282,0.0
1296,6830.434544164984
1309,2358.083801847154
1332,5176.282349766757
1336,6886.897062160793
1357,5910.825955514073
1372,6444.910180692632
1374,6927.106664479955
1378,10154.35632815776
1379,5063.132974154446
1384,8576.495769282987
1394,6857.875715875538
1398,2885.9089461532885
1399,5063.132974154446
1403,7608.735105036467
1409,9485.931353567283
1424,4738.0402288694895
1430,6361.755139245041
1432,4738.0402288694895
1448,6373.013887611643
1451,10022.933566036041
1452,7571.807396761495
1467,0.0002915704387990762
1470,5464.408955039335
1481,9314.713599461602
1523,3313.440834637917
1527,5528.548233978775
1546,5176.282349766757
1547,12504.604245889086
1567,4717.6885939480735
1592,9314.713599461602
1597,11641.517650905904
1601,0.0002915704387990762
1603,8681.905568850296
1640,6170.531252813193
1646,0.0002915704387990762
1651,0.0002915704387990762
1652,10083.6109950287
1670,0.0002915704387990762
1677,0.0
1691,5701.967847949588
1704,2364.6834114389085
1707,9950.794062319366
1718,5921.490388522591
1721,6170.531252813193
1733,0.0002915704387990762
1737,8725.21571356955
1748,4022.3174772701605
1776,6231.461511519961
1804,6942.566493570205
1821,8012.95147528428
1839,4589.190230184766
1845,5883.126080314829
1853,6537.960962664222
1888,4008.6997168287953
1895,5781.153935722191
1899,6629.5403639004035
1923,3748.1274358747523
1934,8576.495769282987
1937,10154.35632815776
1940,5055.144438140891
1953,0.0002915704387990762
1968,4036.352111133871
1975,0.0
1981,7927.340330994385
