True_index,sales
7,0
19,4490.080906
31,5157.580042
45,3498.630345
56,4050.958124
57,4844.525572
61,5854.958332
63,7382.218318
79,4457.843675
81,7641.514219
84,3725.593799
86,5310.979962
90,5164.860459
96,6314.87874
105,170.0262847
108,6443.527537
124,11082.70233
126,5025.835573
133,6790.54114
146,5989.514685
151,0
160,7755.432429
164,8130.101627
167,10215.83518
190,44.46401286
194,6359.626639
206,9168.818466
214,48.08118935
217,7666.993909
220,9470.917973
221,12728.58623
225,5826.241349
226,5113.479801
232,8354.958307
250,5109.120704
264,5986.927079
269,5225.834008
271,6294.514098
280,7617.422441
281,0
284,4965.242685
302,7758.974744
323,5617.623071
327,33.91430049
336,5430.876666
351,4940.293186
377,6366.76272
382,4203.062641
388,7249.36325
392,0
402,163.7783426
408,6828.742062
427,6981.780959
466,0
469,0
472,0
477,120.5433103
508,6177.711693
513,8442.036802
516,6076.074062
530,4411.675067
558,3841.893032
576,13229.64056
588,8705.958168
595,6663.438808
600,5096.500699
601,9856.502475
609,5449.008218
612,5250.197357
615,6796.385683
625,5070.083666
632,0
645,4726.590349
666,6782.04482
668,7471.81774
672,9518.088687
699,14618.04017
717,6462.560471
737,5263.476688
744,8216.525584
747,18769.92918
764,7139.691737
775,7074.390579
788,140.6939556
795,9767.281771
802,9726.034895
811,9053.164156
840,9482.015647
849,9742.261703
859,6378.832611
871,0
872,11990.48801
881,4760.031587
883,7630.091155
890,5227.456241
896,7469.02081
902,763.9535141
905,9062.177289
921,7430.821953
967,8369.755887
973,6450.707714
1001,4455.462054
1016,64.02286195
1021,9593.73199
1026,4793.6349
1030,7004.123694
1044,5507.444194
1063,9139.427062
1067,8705.19541
1075,8404.781951
1086,0
1097,5089.945125
1117,11034.89824
1122,5189.946309
1125,8297.327077
1129,5769.733119
1141,5172.403683
1149,0
1151,4124.348579
1159,6574.405783
1173,7059.080298
1184,60.0771673
1193,6216.208545
1241,5958.315575
1249,32.20475681
1250,6826.461865
1261,147.1393307
1273,6296.222059
1282,711.7266184
1296,6266.106774
1309,3350.653297
1332,5392.468289
1336,6316.647271
1357,6063.043809
1372,6700.639229
1374,6378.513468
1378,10206.60564
1379,5033.599806
1384,8461.925844
1394,6809.614883
1398,3515.924799
1399,5201.179724
1403,7735.643934
1409,8910.501469
1424,4651.607184
1430,5701.777566
1432,4999.155975
