True_index,predicted_sales
7,0.0
19,35045.642857142855
31,35045.642857142855
45,35045.642857142855
56,35045.642857142855
57,35045.642857142855
61,35045.642857142855
63,35045.642857142855
79,35045.642857142855
81,35045.642857142855
84,35045.642857142855
86,35045.642857142855
90,35045.642857142855
96,35045.642857142855
105,0.0
108,35045.642857142855
124,35045.642857142855
126,35045.642857142855
133,35045.642857142855
146,35045.642857142855
151,0.0
160,35045.642857142855
164,35045.642857142855
167,35045.642857142855
190,0.0
194,35045.642857142855
206,35045.642857142855
214,0.0
217,35045.642857142855
220,35045.642857142855
221,35045.642857142855
225,35045.642857142855
226,35045.642857142855
232,35045.642857142855
250,35045.642857142855
264,35045.642857142855
269,35045.642857142855
271,35045.642857142855
280,35045.642857142855
281,0.0
284,35045.642857142855
302,35045.642857142855
323,35045.642857142855
327,0.0
336,35045.642857142855
351,35045.642857142855
377,35045.642857142855
382,35045.642857142855
388,35045.642857142855
392,0.0
402,0.0
408,35045.642857142855
427,35045.642857142855
466,0.0
469,0.0
472,0.0
477,0.0
508,35045.642857142855
513,35045.642857142855
516,35045.642857142855
530,35045.642857142855
558,35045.642857142855
576,35045.642857142855
588,35045.642857142855
595,35045.642857142855
600,35045.642857142855
601,35045.642857142855
609,35045.642857142855
612,35045.642857142855
615,35045.642857142855
625,35045.642857142855
632,0.0
645,35045.642857142855
666,35045.642857142855
668,35045.642857142855
672,35045.642857142855
699,35045.642857142855
717,35045.642857142855
737,35045.642857142855
744,35045.642857142855
747,35045.642857142855
764,35045.642857142855
775,35045.642857142855
788,0.0
795,35045.642857142855
802,35045.642857142855
811,35045.642857142855
840,35045.642857142855
849,35045.642857142855
859,35045.642857142855
871,0.0
872,35045.642857142855
881,35045.642857142855
883,35045.642857142855
890,35045.642857142855
896,35045.642857142855
902,0.0
905,35045.642857142855
921,35045.642857142855
967,35045.642857142855
973,35045.642857142855
1001,35045.642857142855
1016,0.0
1021,35045.642857142855
1026,35045.642857142855
1030,35045.642857142855
1044,35045.642857142855
1063,35045.642857142855
1067,35045.642857142855
1075,35045.642857142855
1086,0.0
1097,35045.642857142855
1117,35045.642857142855
1122,35045.642857142855
1125,35045.642857142855
1129,35045.642857142855
1141,35045.642857142855
1149,0.0
1151,35045.642857142855
1159,35045.642857142855
1173,35045.642857142855
1184,0.0
1193,35045.642857142855
1241,35045.642857142855
1249,0.0
1250,35045.642857142855
1261,0.0
1273,35045.642857142855
1282,0.0
1296,35045.642857142855
1309,35045.642857142855
1332,35045.642857142855
1336,35045.642857142855
1357,35045.642857142855
1372,35045.642857142855
1374,35045.642857142855
1378,35045.642857142855
1379,35045.642857142855
1384,35045.642857142855
1394,35045.642857142855
1398,35045.642857142855
1399,35045.642857142855
1403,35045.642857142855
1409,35045.642857142855
1424,35045.642857142855
1430,35045.642857142855
1432,35045.642857142855
1448,35045.642857142855
1451,35045.642857142855
1452,35045.642857142855
1467,0.0
1470,35045.642857142855
1481,35045.642857142855
1523,35045.642857142855
1527,35045.642857142855
1546,35045.642857142855
1547,35045.642857142855
1567,35045.642857142855
1592,35045.642857142855
1597,35045.642857142855
1601,0.0
1603,35045.642857142855
1640,35045.642857142855
1646,0.0
1651,0.0
1652,35045.642857142855
1670,0.0
1677,0.0
1691,35045.642857142855
1704,35045.642857142855
1707,35045.642857142855
1718,35045.642857142855
1721,35045.642857142855
1733,0.0
1737,35045.642857142855
1748,35045.642857142855
1776,35045.642857142855
1804,35045.642857142855
1821,35045.642857142855
1839,35045.642857142855
1845,35045.642857142855
1853,35045.642857142855
1888,35045.642857142855
1895,35045.642857142855
1899,35045.642857142855
1923,35045.642857142855
1934,35045.642857142855
1937,35045.642857142855
1940,35045.642857142855
1953,0.0
1968,35045.642857142855
1975,0.0
1981,35045.642857142855
1984,35045.642857142855
1997,35045.642857142855
2024,35045.642857142855
2032,35045.642857142855
2036,35045.642857142855
2051,35045.642857142855
2061,0.0
2082,35045.642857142855
2093,0.0
2096,35045.642857142855
2107,35045.642857142855
2115,35045.642857142855
2117,35045.642857142855
2137,35045.642857142855
2156,35045.642857142855
2160,0.0
2186,35045.642857142855
2188,35045.642857142855
2204,35045.642857142855
2217,35045.642857142855
2224,35045.642857142855
2228,35045.642857142855
2233,35045.642857142855
2246,35045.642857142855
2254,35045.642857142855
2275,35045.642857142855
2281,35045.642857142855
2287,35045.642857142855
2300,35045.642857142855
2305,35045.642857142855
2306,35045.642857142855
2313,35045.642857142855
2315,35045.642857142855
2320,35045.642857142855
2322,35045.642857142855
2324,35045.642857142855
2328,35045.642857142855
2335,35045.642857142855
2340,35045.642857142855
2352,0.0
2381,35045.642857142855
2383,35045.642857142855
2408,35045.642857142855
2422,35045.642857142855
2424,35045.642857142855
2425,0.0
2428,35045.642857142855
2435,35045.642857142855
2456,35045.642857142855
2471,0.0
2474,35045.642857142855
2493,35045.642857142855
2495,35045.642857142855
2501,0.0
2511,35045.642857142855
2519,35045.642857142855
2522,35045.642857142855
2526,35045.642857142855
2527,35045.642857142855
2539,35045.642857142855
2550,35045.642857142855
2562,0.0
2572,35045.642857142855
2573,35045.642857142855
2576,35045.642857142855
2579,35045.642857142855
2580,35045.642857142855
2594,35045.642857142855
2600,35045.642857142855
2602,35045.642857142855
2621,0.0
2641,0.0
2651,35045.642857142855
2669,35045.642857142855
2686,35045.642857142855
2694,35045.642857142855
2699,35045.642857142855
2700,35045.642857142855
2747,35045.642857142855
2759,35045.642857142855
2763,35045.642857142855
2794,0.0
2797,0.0
2812,35045.642857142855
2815,35045.642857142855
2824,0.0
2829,35045.642857142855
2830,35045.642857142855
2852,35045.642857142855
2855,35045.642857142855
2858,0.0
2870,35045.642857142855
2881,35045.642857142855
2884,35045.642857142855
2887,35045.642857142855
2890,35045.642857142855
2897,35045.642857142855
2909,35045.642857142855
