true_index,predictions
7,0.0
19,3619.714249013168
31,6120.446891839991
45,2932.4496130661405
56,3353.1535207874504
57,4569.735724057421
61,5570.600570423312
63,8009.242675349312
79,5076.940062713563
81,8142.322072348695
84,3752.8096018032193
86,6141.571420422237
90,5239.566826538994
96,4944.779483026594
105,0.0
108,4939.821812350812
124,13761.430137651098
126,5809.188396934743
133,7708.305156131871
146,5395.411621190806
151,0.0
160,8678.783768962978
164,8398.620620143867
167,12350.028610096031
190,0.0
194,5876.021039236265
206,10229.763876865383
214,0.0
217,10080.315779830393
220,9896.988194472371
221,8385.275397330777
225,6856.90803863836
226,3889.9813749194973
232,7523.717947330369
250,5736.2711251623205
264,5968.570520110928
269,7071.498645444985
271,7851.923363182859
280,9283.196111309002
281,0.0
284,4000.074842687586
302,7945.538750837645
323,5945.858723378978
327,0.0
336,4987.32853117452
351,3920.3203840209753
377,5011.409246434994
382,4635.135349645938
388,8068.843298581422
392,0.0
402,0.0
408,6132.58725476206
427,5914.814164572445
466,0.0
469,0.0
472,0.0
477,0.0
508,5019.894673805012
513,11722.245998028939
516,7740.741748782416
530,3700.948848875709
558,3021.0426134644517
576,14698.657852917762
588,7445.830646481258
595,6467.588262789321
600,5185.245081951597
601,8566.761062156202
609,5407.288107107639
612,6479.233321179739
615,8040.628361719196
625,5660.31774392452
632,0.0
645,5202.145970889329
666,6248.666371449559
668,6201.103089713351
672,9441.568688064832
699,16560.47333673954
717,5583.672613994292
737,5993.076158622422
744,7039.271848064001
747,15289.572102356386
764,8464.888214662573
775,6549.265889617856
788,0.0
795,9692.247443662322
802,10185.612706171434
811,8138.227429596562
840,8522.681541820104
849,10937.055221320847
859,6774.406971774891
871,0.0
872,13888.048611614495
881,3637.102010954391
883,6353.721556968058
890,5397.351094247522
896,6519.910069537213
902,0.0
905,10709.819224903677
921,10010.550390456632
967,9097.527253668199
973,4699.1610442765
1001,3676.7065052180787
1016,0.0
1021,9168.149285954207
1026,4407.134251042761
1030,8166.594680894063
1044,5461.450303473806
1063,9206.391898254904
1067,7716.34468823957
1075,8692.875455180618
1086,0.0
1097,4404.537698485146
1117,14118.918649811334
1122,4352.656798047971
1125,7163.209145658275
1129,6012.660418102666
1141,5043.688358741983
1149,0.0
1151,4396.596896540578
1159,7518.660496651111
1173,6568.409484987014
1184,0.0
1193,5217.0277148350815
1241,5794.296786600737
1249,0.0
1250,6830.143727242288
1261,0.0
1273,6665.453147454947
1282,0.0
1296,8451.78931360093
1309,2480.5563809246314
1332,5940.359412879471
1336,6914.277143004724
1357,5598.299670307572
1372,6292.529471002119
1374,6476.006873825692
1378,10660.11828960073
1379,3944.8570908160323
1384,9726.680500006545
1394,5595.128717672837
1398,2900.6302286399623
1399,4767.001281813928
1403,7854.355121874201
1409,9289.686417750687
1424,4080.758141872577
1430,6297.1972142501645
1432,4812.608003484849
1448,6345.04973982731
1451,10886.990006019758
1452,7009.338682248408
1467,0.0
1470,5038.210504313083
1481,9241.35826367161
1523,3011.628877769399
1527,5005.347618916333
1546,4610.683059809463
1547,13636.762200076157
1567,5089.494983408176
1592,10073.937519150344
1597,11666.445299901383
1601,0.0
1603,9470.21487614323
1640,6427.20917640421
1646,0.0
1651,0.0
1652,10684.605035204306
